year,exporter,importer,trade_category,key_goods,trade_value_bn_usd,yoy_growth_pct,effective_tariff_rate_pct,trade_active,supply_chain_integrated,concentration_risk
2013,Egypt,EU,energy_goods,"LNG,petroleum,textiles",83.54,4.31,2.5,1,0,0.323
2014,Egypt,EU,energy_goods,"LNG,petroleum,textiles",75.28,-9.89,2.5,1,0,0.318
2015,Egypt,EU,energy_goods,"LNG,petroleum,textiles",77.19,2.54,2.5,1,0,0.1
2016,Egypt,EU,energy_goods,"LNG,petroleum,textiles",79.44,2.91,2.5,1,0,0.374
2017,Egypt,EU,energy_goods,"LNG,petroleum,textiles",83.11,4.62,2.5,1,0,0.213
2018,Egypt,EU,energy_goods,"LNG,petroleum,textiles",80.07,-3.66,2.5,1,0,0.485
2019,Egypt,EU,energy_goods,"LNG,petroleum,textiles",77.97,-2.62,2.5,1,0,0.414
2020,Egypt,EU,energy_goods,"LNG,petroleum,textiles",78.24,0.35,2.5,1,0,0.127
2021,Egypt,EU,energy_goods,"LNG,petroleum,textiles",87.11,11.34,2.5,1,0,0.49
2022,Egypt,EU,energy_goods,"LNG,petroleum,textiles",84.96,-2.47,2.5,1,0,0.516
2023,Egypt,EU,energy_goods,"LNG,petroleum,textiles",88.38,4.03,2.5,1,0,0.562
2024,Egypt,EU,energy_goods,"LNG,petroleum,textiles",88.2,-0.2,2.5,1,0,0.572
2000,France,China,luxury_goods,"aerospace,luxury,agriculture",35.4,,2.5,1,0,0.138
2001,France,China,luxury_goods,"aerospace,luxury,agriculture",37.46,5.82,2.5,1,0,0.188
2002,France,China,luxury_goods,"aerospace,luxury,agriculture",38.57,2.96,2.5,1,0,0.538
2003,France,China,luxury_goods,"aerospace,luxury,agriculture",39.12,1.43,2.5,1,0,0.406
2004,France,China,luxury_goods,"aerospace,luxury,agriculture",46.64,19.22,2.5,1,0,0.468
2005,France,China,luxury_goods,"aerospace,luxury,agriculture",47.75,2.38,2.5,1,0,0.508
2006,France,China,luxury_goods,"aerospace,luxury,agriculture",53.25,11.52,2.5,1,0,0.314
2007,France,China,luxury_goods,"aerospace,luxury,agriculture",53.0,-0.47,2.5,1,0,0.503
2008,France,China,luxury_goods,"aerospace,luxury,agriculture",52.81,-0.36,2.5,1,0,0.321
2009,France,China,luxury_goods,"aerospace,luxury,agriculture",46.92,-11.15,2.5,1,0,0.405
2010,France,China,luxury_goods,"aerospace,luxury,agriculture",50.67,7.99,2.5,1,0,0.522
2011,France,China,luxury_goods,"aerospace,luxury,agriculture",55.85,10.22,2.5,1,0,0.421
2012,France,China,luxury_goods,"aerospace,luxury,agriculture",49.73,-10.96,2.5,1,0,0.225
2013,France,China,luxury_goods,"aerospace,luxury,agriculture",58.02,16.67,2.5,1,0,0.329
2014,France,China,luxury_goods,"aerospace,luxury,agriculture",51.02,-12.06,2.5,1,0,0.377
2015,France,China,luxury_goods,"aerospace,luxury,agriculture",56.17,10.09,2.5,1,0,0.414
2016,France,China,luxury_goods,"aerospace,luxury,agriculture",54.34,-3.26,2.5,1,0,0.486
2017,France,China,luxury_goods,"aerospace,luxury,agriculture",53.15,-2.19,2.5,1,0,0.415
2018,France,China,luxury_goods,"aerospace,luxury,agriculture",54.96,3.41,2.5,1,0,0.334
2019,France,China,luxury_goods,"aerospace,luxury,agriculture",53.84,-2.04,2.5,1,0,0.309
2020,France,China,luxury_goods,"aerospace,luxury,agriculture",50.36,-6.46,2.5,1,0,0.315
2021,France,China,luxury_goods,"aerospace,luxury,agriculture",60.8,20.73,2.5,1,0,0.286
2022,France,China,luxury_goods,"aerospace,luxury,agriculture",62.86,3.39,2.5,1,0,0.28
2023,France,China,luxury_goods,"aerospace,luxury,agriculture",61.25,-2.56,2.5,1,0,0.466
2024,France,China,luxury_goods,"aerospace,luxury,agriculture",59.43,-2.97,2.5,1,0,0.359
2000,Germany,China,manufacturing,"vehicles,machinery,chemicals",23.84,,2.5,1,1,0.547
2001,Germany,China,manufacturing,"vehicles,machinery,chemicals",27.49,15.31,2.5,1,1,0.317
2002,Germany,China,manufacturing,"vehicles,machinery,chemicals",27.2,-1.05,2.5,1,1,0.528
2003,Germany,China,manufacturing,"vehicles,machinery,chemicals",31.0,13.97,2.5,1,1,0.238
2004,Germany,China,manufacturing,"vehicles,machinery,chemicals",29.12,-6.06,2.5,1,1,0.314
2005,Germany,China,manufacturing,"vehicles,machinery,chemicals",32.46,11.47,2.5,1,1,0.288
2006,Germany,China,manufacturing,"vehicles,machinery,chemicals",34.11,5.08,2.5,1,1,0.584
2007,Germany,China,manufacturing,"vehicles,machinery,chemicals",33.25,-2.52,2.5,1,1,0.297
2008,Germany,China,manufacturing,"vehicles,machinery,chemicals",34.94,5.08,2.5,1,1,0.25
2009,Germany,China,manufacturing,"vehicles,machinery,chemicals",32.12,-8.07,2.5,1,1,0.263
2010,Germany,China,manufacturing,"vehicles,machinery,chemicals",37.71,17.4,2.5,1,1,0.368
2011,Germany,China,manufacturing,"vehicles,machinery,chemicals",37.38,-0.88,2.5,1,1,0.313
2012,Germany,China,manufacturing,"vehicles,machinery,chemicals",36.62,-2.03,2.5,1,1,0.308
2013,Germany,China,manufacturing,"vehicles,machinery,chemicals",36.57,-0.14,2.5,1,1,0.4
2014,Germany,China,manufacturing,"vehicles,machinery,chemicals",34.2,-6.48,2.5,1,1,0.385
2015,Germany,China,manufacturing,"vehicles,machinery,chemicals",35.67,4.3,2.5,1,1,0.309
2016,Germany,China,manufacturing,"vehicles,machinery,chemicals",34.7,-2.72,2.5,1,1,0.307
2017,Germany,China,manufacturing,"vehicles,machinery,chemicals",37.35,7.64,2.5,1,1,0.405
2018,Germany,China,manufacturing,"vehicles,machinery,chemicals",35.22,-5.7,2.5,1,1,0.399
2019,Germany,China,manufacturing,"vehicles,machinery,chemicals",38.66,9.77,2.5,1,1,0.291
2020,Germany,China,manufacturing,"vehicles,machinery,chemicals",33.98,-12.11,2.5,1,1,0.102
2021,Germany,China,manufacturing,"vehicles,machinery,chemicals",38.49,13.27,2.5,1,1,0.382
2022,Germany,China,manufacturing,"vehicles,machinery,chemicals",41.45,7.69,2.5,1,1,0.278
2023,Germany,China,manufacturing,"vehicles,machinery,chemicals",44.39,7.09,2.5,1,1,0.388
2024,Germany,China,manufacturing,"vehicles,machinery,chemicals",37.91,-14.6,2.5,1,1,0.504
2000,India,China,mixed,"electronics,machinery,chemicals",54.9,,2.5,1,0,0.564
2001,India,China,mixed,"electronics,machinery,chemicals",58.05,5.74,2.5,1,0,0.342
2002,India,China,mixed,"electronics,machinery,chemicals",60.6,4.39,2.5,1,0,0.526
2003,India,China,mixed,"electronics,machinery,chemicals",64.2,5.94,2.5,1,0,0.2
2004,India,China,mixed,"electronics,machinery,chemicals",75.46,17.54,2.5,1,0,0.185
2005,India,China,mixed,"electronics,machinery,chemicals",71.19,-5.66,2.5,1,0,0.249
2006,India,China,mixed,"electronics,machinery,chemicals",72.97,2.5,2.5,1,0,0.223
2007,India,China,mixed,"electronics,machinery,chemicals",77.11,5.67,2.5,1,0,0.468
2008,India,China,mixed,"electronics,machinery,chemicals",76.68,-0.56,2.5,1,0,0.501
2009,India,China,mixed,"electronics,machinery,chemicals",76.05,-0.82,2.5,1,0,0.411
2010,India,China,mixed,"electronics,machinery,chemicals",83.16,9.35,2.5,1,0,0.383
2011,India,China,mixed,"electronics,machinery,chemicals",87.58,5.32,2.5,1,0,0.141
2012,India,China,mixed,"electronics,machinery,chemicals",85.18,-2.74,2.5,1,0,0.26
2013,India,China,mixed,"electronics,machinery,chemicals",85.52,0.4,2.5,1,0,0.276
2014,India,China,mixed,"electronics,machinery,chemicals",85.11,-0.48,2.5,1,0,0.164
2015,India,China,mixed,"electronics,machinery,chemicals",77.32,-9.15,2.5,1,0,0.336
2016,India,China,mixed,"electronics,machinery,chemicals",87.63,13.33,2.5,1,0,0.414
2017,India,China,mixed,"electronics,machinery,chemicals",84.51,-3.56,2.5,1,0,0.453
2018,India,China,mixed,"electronics,machinery,chemicals",81.43,-3.64,2.5,1,0,0.423
2019,India,China,mixed,"electronics,machinery,chemicals",80.84,-0.72,2.5,1,0,0.312
2020,India,China,mixed,"electronics,machinery,chemicals",75.54,-6.56,2.5,1,0,0.285
2021,India,China,mixed,"electronics,machinery,chemicals",89.12,17.98,2.5,1,0,0.319
2022,India,China,mixed,"electronics,machinery,chemicals",86.86,-2.54,2.5,1,0,0.333
2023,India,China,mixed,"electronics,machinery,chemicals",89.91,3.51,2.5,1,0,0.218
2024,India,China,mixed,"electronics,machinery,chemicals",90.86,1.06,2.5,1,0,0.291
2000,India,USA,IT_goods,"pharma,textiles,chemicals",33.52,,2.5,1,0,0.353
2001,India,USA,IT_goods,"pharma,textiles,chemicals",36.27,8.2,2.5,1,0,0.446
2002,India,USA,IT_goods,"pharma,textiles,chemicals",39.87,9.93,2.5,1,0,0.279
2003,India,USA,IT_goods,"pharma,textiles,chemicals",38.25,-4.06,2.5,1,0,0.206
2004,India,USA,IT_goods,"pharma,textiles,chemicals",38.83,1.52,2.5,1,0,0.317
2005,India,USA,IT_goods,"pharma,textiles,chemicals",44.65,14.99,2.5,1,0,0.213
2006,India,USA,IT_goods,"pharma,textiles,chemicals",44.59,-0.13,2.5,1,0,0.348
2007,India,USA,IT_goods,"pharma,textiles,chemicals",48.02,7.69,2.5,1,0,0.324
2008,India,USA,IT_goods,"pharma,textiles,chemicals",50.96,6.12,2.5,1,0,0.38
2009,India,USA,IT_goods,"pharma,textiles,chemicals",44.49,-12.7,2.5,1,0,0.291
2010,India,USA,IT_goods,"pharma,textiles,chemicals",47.96,7.8,2.5,1,0,0.344
2011,India,USA,IT_goods,"pharma,textiles,chemicals",51.89,8.19,2.5,1,0,0.329
2012,India,USA,IT_goods,"pharma,textiles,chemicals",55.82,7.57,2.5,1,0,0.37
2013,India,USA,IT_goods,"pharma,textiles,chemicals",51.39,-7.94,2.5,1,0,0.41
2014,India,USA,IT_goods,"pharma,textiles,chemicals",56.27,9.5,2.5,1,0,0.38
2015,India,USA,IT_goods,"pharma,textiles,chemicals",47.31,-15.92,2.5,1,0,0.402
2016,India,USA,IT_goods,"pharma,textiles,chemicals",49.92,5.52,2.5,1,0,0.119
2017,India,USA,IT_goods,"pharma,textiles,chemicals",55.34,10.86,2.5,1,0,0.528
2018,India,USA,IT_goods,"pharma,textiles,chemicals",49.87,-9.88,2.5,1,0,0.242
2019,India,USA,IT_goods,"pharma,textiles,chemicals",52.04,4.35,2.5,1,0,0.244
2020,India,USA,IT_goods,"pharma,textiles,chemicals",47.32,-9.07,2.5,1,0,0.264
2021,India,USA,IT_goods,"pharma,textiles,chemicals",54.96,16.15,2.5,1,0,0.181
2022,India,USA,IT_goods,"pharma,textiles,chemicals",57.73,5.04,2.5,1,0,0.494
2023,India,USA,IT_goods,"pharma,textiles,chemicals",55.62,-3.65,2.5,1,0,0.346
2024,India,USA,IT_goods,"pharma,textiles,chemicals",57.27,2.97,2.5,1,0,0.35
2000,Indonesia,China,commodities,"coal,palm oil,nickel",43.8,,2.5,1,0,0.396
2001,Indonesia,China,commodities,"coal,palm oil,nickel",47.09,7.51,2.5,1,0,0.161
2002,Indonesia,China,commodities,"coal,palm oil,nickel",47.76,1.42,2.5,1,0,0.32
2003,Indonesia,China,commodities,"coal,palm oil,nickel",50.07,4.84,2.5,1,0,0.437
2004,Indonesia,China,commodities,"coal,palm oil,nickel",53.02,5.89,2.5,1,0,0.362
2005,Indonesia,China,commodities,"coal,palm oil,nickel",55.07,3.87,2.5,1,0,0.478
2006,Indonesia,China,commodities,"coal,palm oil,nickel",61.71,12.06,2.5,1,0,0.313
2007,Indonesia,China,commodities,"coal,palm oil,nickel",69.39,12.45,2.5,1,0,0.258
2008,Indonesia,China,commodities,"coal,palm oil,nickel",67.68,-2.46,2.5,1,0,0.236
2009,Indonesia,China,commodities,"coal,palm oil,nickel",59.0,-12.83,2.5,1,0,0.433
2010,Indonesia,China,commodities,"coal,palm oil,nickel",62.43,5.81,2.5,1,0,0.334
2011,Indonesia,China,commodities,"coal,palm oil,nickel",70.05,12.21,2.5,1,0,0.252
2012,Indonesia,China,commodities,"coal,palm oil,nickel",66.06,-5.7,2.5,1,0,0.39
2013,Indonesia,China,commodities,"coal,palm oil,nickel",64.9,-1.76,2.5,1,0,0.142
2014,Indonesia,China,commodities,"coal,palm oil,nickel",67.2,3.54,2.5,1,0,0.351
2015,Indonesia,China,commodities,"coal,palm oil,nickel",67.94,1.1,2.5,1,0,0.378
2016,Indonesia,China,commodities,"coal,palm oil,nickel",65.18,-4.06,2.5,1,0,0.395
2017,Indonesia,China,commodities,"coal,palm oil,nickel",62.49,-4.13,2.5,1,0,0.537
2018,Indonesia,China,commodities,"coal,palm oil,nickel",64.04,2.48,2.5,1,0,0.306
2019,Indonesia,China,commodities,"coal,palm oil,nickel",68.46,6.9,2.5,1,0,0.38
2020,Indonesia,China,commodities,"coal,palm oil,nickel",59.24,-13.47,2.5,1,0,0.4
2021,Indonesia,China,commodities,"coal,palm oil,nickel",71.99,21.52,2.5,1,0,0.336
2022,Indonesia,China,commodities,"coal,palm oil,nickel",72.85,1.19,2.5,1,0,0.198
2023,Indonesia,China,commodities,"coal,palm oil,nickel",70.95,-2.61,2.5,1,0,0.446
2024,Indonesia,China,commodities,"coal,palm oil,nickel",71.98,1.45,2.5,1,0,0.1
2000,Indonesia,Japan,energy,"LNG,coal,minerals",48.57,,2.5,1,0,0.377
2001,Indonesia,Japan,energy,"LNG,coal,minerals",51.35,5.72,2.5,1,0,0.474
2002,Indonesia,Japan,energy,"LNG,coal,minerals",57.44,11.86,2.5,1,0,0.336
2003,Indonesia,Japan,energy,"LNG,coal,minerals",61.31,6.74,2.5,1,0,0.441
2004,Indonesia,Japan,energy,"LNG,coal,minerals",64.26,4.81,2.5,1,0,0.345
2005,Indonesia,Japan,energy,"LNG,coal,minerals",66.29,3.16,2.5,1,0,0.258
2006,Indonesia,Japan,energy,"LNG,coal,minerals",64.71,-2.38,2.5,1,0,0.612
2007,Indonesia,Japan,energy,"LNG,coal,minerals",67.36,4.1,2.5,1,0,0.298
2008,Indonesia,Japan,energy,"LNG,coal,minerals",68.47,1.65,2.5,1,0,0.248
2009,Indonesia,Japan,energy,"LNG,coal,minerals",62.47,-8.76,2.5,1,0,0.27
2010,Indonesia,Japan,energy,"LNG,coal,minerals",74.76,19.67,2.5,1,0,0.415
2011,Indonesia,Japan,energy,"LNG,coal,minerals",70.96,-5.08,2.5,1,0,0.255
2012,Indonesia,Japan,energy,"LNG,coal,minerals",77.14,8.71,2.5,1,0,0.555
2013,Indonesia,Japan,energy,"LNG,coal,minerals",77.68,0.7,2.5,1,0,0.152
2014,Indonesia,Japan,energy,"LNG,coal,minerals",77.47,-0.27,2.5,1,0,0.572
2015,Indonesia,Japan,energy,"LNG,coal,minerals",69.03,-10.89,2.5,1,0,0.48
2016,Indonesia,Japan,energy,"LNG,coal,minerals",74.54,7.98,2.5,1,0,0.311
2017,Indonesia,Japan,energy,"LNG,coal,minerals",74.19,-0.47,2.5,1,0,0.403
2018,Indonesia,Japan,energy,"LNG,coal,minerals",77.37,4.29,2.5,1,0,0.483
2019,Indonesia,Japan,energy,"LNG,coal,minerals",69.55,-10.11,2.5,1,0,0.272
2020,Indonesia,Japan,energy,"LNG,coal,minerals",68.22,-1.91,2.5,1,0,0.539
2021,Indonesia,Japan,energy,"LNG,coal,minerals",71.54,4.87,2.5,1,0,0.277
2022,Indonesia,Japan,energy,"LNG,coal,minerals",75.05,4.91,2.5,1,0,0.186
2023,Indonesia,Japan,energy,"LNG,coal,minerals",82.99,10.58,2.5,1,0,0.286
2024,Indonesia,Japan,energy,"LNG,coal,minerals",72.67,-12.44,2.5,1,0,0.331
2000,Israel,USA,high_tech,"semiconductors,pharma,defense",31.37,,2.5,1,0,0.186
2001,Israel,USA,high_tech,"semiconductors,pharma,defense",31.74,1.18,2.5,1,0,0.472
2002,Israel,USA,high_tech,"semiconductors,pharma,defense",35.57,12.07,2.5,1,0,0.313
2003,Israel,USA,high_tech,"semiconductors,pharma,defense",38.57,8.43,2.5,1,0,0.308
2004,Israel,USA,high_tech,"semiconductors,pharma,defense",38.38,-0.49,2.5,1,0,0.402
2005,Israel,USA,high_tech,"semiconductors,pharma,defense",37.51,-2.27,2.5,1,0,0.337
2006,Israel,USA,high_tech,"semiconductors,pharma,defense",45.69,21.81,2.5,1,0,0.239
2007,Israel,USA,high_tech,"semiconductors,pharma,defense",44.72,-2.12,2.5,1,0,0.211
2008,Israel,USA,high_tech,"semiconductors,pharma,defense",44.12,-1.34,2.5,1,0,0.18
2009,Israel,USA,high_tech,"semiconductors,pharma,defense",41.85,-5.15,2.5,1,0,0.245
2010,Israel,USA,high_tech,"semiconductors,pharma,defense",48.18,15.13,2.5,1,0,0.286
2011,Israel,USA,high_tech,"semiconductors,pharma,defense",46.04,-4.44,2.5,1,0,0.399
2012,Israel,USA,high_tech,"semiconductors,pharma,defense",42.93,-6.75,2.5,1,0,0.374
2013,Israel,USA,high_tech,"semiconductors,pharma,defense",46.45,8.2,2.5,1,0,0.487
2014,Israel,USA,high_tech,"semiconductors,pharma,defense",44.08,-5.1,2.5,1,0,0.252
2015,Israel,USA,high_tech,"semiconductors,pharma,defense",47.03,6.69,2.5,1,0,0.519
2016,Israel,USA,high_tech,"semiconductors,pharma,defense",44.73,-4.89,2.5,1,0,0.202
2017,Israel,USA,high_tech,"semiconductors,pharma,defense",45.22,1.1,2.5,1,0,0.228
2018,Israel,USA,high_tech,"semiconductors,pharma,defense",46.54,2.92,2.5,1,0,0.22
2019,Israel,USA,high_tech,"semiconductors,pharma,defense",47.62,2.32,2.5,1,0,0.376
2020,Israel,USA,high_tech,"semiconductors,pharma,defense",43.86,-7.9,2.5,1,0,0.1
2021,Israel,USA,high_tech,"semiconductors,pharma,defense",46.11,5.13,2.5,1,0,0.505
2022,Israel,USA,high_tech,"semiconductors,pharma,defense",48.06,4.23,2.5,1,0,0.174
2023,Israel,USA,high_tech,"semiconductors,pharma,defense",49.07,2.1,2.5,1,0,0.379
2024,Israel,USA,high_tech,"semiconductors,pharma,defense",49.15,0.16,2.5,1,0,0.406
2000,Japan,China,manufacturing,"vehicles,machinery,chemicals",82.77,,2.5,1,1,0.476
2001,Japan,China,manufacturing,"vehicles,machinery,chemicals",92.73,12.03,2.5,1,1,0.224
2002,Japan,China,manufacturing,"vehicles,machinery,chemicals",95.7,3.2,2.5,1,1,0.524
2003,Japan,China,manufacturing,"vehicles,machinery,chemicals",94.74,-1.0,2.5,1,1,0.246
2004,Japan,China,manufacturing,"vehicles,machinery,chemicals",106.4,12.31,2.5,1,1,0.193
2005,Japan,China,manufacturing,"vehicles,machinery,chemicals",105.16,-1.17,2.5,1,1,0.228
2006,Japan,China,manufacturing,"vehicles,machinery,chemicals",117.37,11.61,2.5,1,1,0.267
2007,Japan,China,manufacturing,"vehicles,machinery,chemicals",118.25,0.75,2.5,1,1,0.26
2008,Japan,China,manufacturing,"vehicles,machinery,chemicals",131.49,11.2,2.5,1,1,0.247
2009,Japan,China,manufacturing,"vehicles,machinery,chemicals",104.46,-20.56,2.5,1,1,0.176
2010,Japan,China,manufacturing,"vehicles,machinery,chemicals",129.12,23.61,2.5,1,1,0.442
2011,Japan,China,manufacturing,"vehicles,machinery,chemicals",132.01,2.24,2.5,1,1,0.199
2012,Japan,China,manufacturing,"vehicles,machinery,chemicals",124.43,-5.74,2.5,1,1,0.641
2013,Japan,China,manufacturing,"vehicles,machinery,chemicals",124.07,-0.29,2.5,1,1,0.282
2014,Japan,China,manufacturing,"vehicles,machinery,chemicals",125.48,1.14,2.5,1,1,0.414
2015,Japan,China,manufacturing,"vehicles,machinery,chemicals",128.19,2.16,2.5,1,1,0.276
2016,Japan,China,manufacturing,"vehicles,machinery,chemicals",122.68,-4.3,2.5,1,1,0.314
2017,Japan,China,manufacturing,"vehicles,machinery,chemicals",121.97,-0.58,2.5,1,1,0.202
2018,Japan,China,manufacturing,"vehicles,machinery,chemicals",135.0,10.68,2.5,1,1,0.301
2019,Japan,China,manufacturing,"vehicles,machinery,chemicals",123.84,-8.27,2.5,1,1,0.312
2020,Japan,China,manufacturing,"vehicles,machinery,chemicals",115.17,-7.0,2.5,1,1,0.402
2021,Japan,China,manufacturing,"vehicles,machinery,chemicals",133.13,15.59,2.5,1,1,0.487
2022,Japan,China,manufacturing,"vehicles,machinery,chemicals",138.91,4.34,2.5,1,1,0.327
2023,Japan,China,manufacturing,"vehicles,machinery,chemicals",132.06,-4.93,2.5,1,1,0.48
2024,Japan,China,manufacturing,"vehicles,machinery,chemicals",134.75,2.04,2.5,1,1,0.201
2000,Japan,USA,manufacturing,"vehicles,electronics,machinery",25.68,,2.5,1,1,0.389
2001,Japan,USA,manufacturing,"vehicles,electronics,machinery",27.32,6.39,2.5,1,1,0.187
2002,Japan,USA,manufacturing,"vehicles,electronics,machinery",30.94,13.25,2.5,1,1,0.319
2003,Japan,USA,manufacturing,"vehicles,electronics,machinery",33.49,8.24,2.5,1,1,0.228
2004,Japan,USA,manufacturing,"vehicles,electronics,machinery",30.83,-7.94,2.5,1,1,0.292
2005,Japan,USA,manufacturing,"vehicles,electronics,machinery",38.68,25.46,2.5,1,1,0.45
2006,Japan,USA,manufacturing,"vehicles,electronics,machinery",36.99,-4.37,2.5,1,1,0.42
2007,Japan,USA,manufacturing,"vehicles,electronics,machinery",37.26,0.73,2.5,1,1,0.678
2008,Japan,USA,manufacturing,"vehicles,electronics,machinery",40.63,9.04,2.5,1,1,0.394
2009,Japan,USA,manufacturing,"vehicles,electronics,machinery",36.51,-10.14,2.5,1,1,0.197
2010,Japan,USA,manufacturing,"vehicles,electronics,machinery",38.51,5.48,2.5,1,1,0.321
2011,Japan,USA,manufacturing,"vehicles,electronics,machinery",41.5,7.76,2.5,1,1,0.194
2012,Japan,USA,manufacturing,"vehicles,electronics,machinery",39.78,-4.14,2.5,1,1,0.325
2013,Japan,USA,manufacturing,"vehicles,electronics,machinery",37.46,-5.83,2.5,1,1,0.289
2014,Japan,USA,manufacturing,"vehicles,electronics,machinery",40.77,8.84,2.5,1,1,0.172
2015,Japan,USA,manufacturing,"vehicles,electronics,machinery",42.21,3.53,2.5,1,1,0.406
2016,Japan,USA,manufacturing,"vehicles,electronics,machinery",40.45,-4.17,2.5,1,1,0.351
2017,Japan,USA,manufacturing,"vehicles,electronics,machinery",38.19,-5.59,2.5,1,1,0.272
2018,Japan,USA,manufacturing,"vehicles,electronics,machinery",40.47,5.97,2.5,1,1,0.272
2019,Japan,USA,manufacturing,"vehicles,electronics,machinery",40.19,-0.69,2.5,1,1,0.242
2020,Japan,USA,manufacturing,"vehicles,electronics,machinery",37.37,-7.02,2.5,1,1,0.413
2021,Japan,USA,manufacturing,"vehicles,electronics,machinery",40.37,8.03,2.5,1,1,0.358
2022,Japan,USA,manufacturing,"vehicles,electronics,machinery",40.54,0.42,2.5,1,1,0.127
2023,Japan,USA,manufacturing,"vehicles,electronics,machinery",42.07,3.77,2.5,1,1,0.686
2024,Japan,USA,manufacturing,"vehicles,electronics,machinery",44.44,5.63,2.5,1,1,0.517
2000,Malaysia,China,manufacturing,"electronics,palm oil",21.91,,2.5,1,1,0.504
2001,Malaysia,China,manufacturing,"electronics,palm oil",23.78,8.53,2.5,1,1,0.491
2002,Malaysia,China,manufacturing,"electronics,palm oil",24.15,1.56,2.5,1,1,0.397
2003,Malaysia,China,manufacturing,"electronics,palm oil",26.63,10.27,2.5,1,1,0.682
2004,Malaysia,China,manufacturing,"electronics,palm oil",29.31,10.06,2.5,1,1,0.484
2005,Malaysia,China,manufacturing,"electronics,palm oil",31.83,8.6,2.5,1,1,0.384
2006,Malaysia,China,manufacturing,"electronics,palm oil",30.7,-3.55,2.5,1,1,0.324
2007,Malaysia,China,manufacturing,"electronics,palm oil",32.79,6.81,2.5,1,1,0.1
2008,Malaysia,China,manufacturing,"electronics,palm oil",33.98,3.63,2.5,1,1,0.377
2009,Malaysia,China,manufacturing,"electronics,palm oil",29.72,-12.54,2.5,1,1,0.166
2010,Malaysia,China,manufacturing,"electronics,palm oil",33.78,13.66,2.5,1,1,0.166
2011,Malaysia,China,manufacturing,"electronics,palm oil",36.48,7.99,2.5,1,1,0.319
2012,Malaysia,China,manufacturing,"electronics,palm oil",31.29,-14.23,2.5,1,1,0.325
2013,Malaysia,China,manufacturing,"electronics,palm oil",35.22,12.56,2.5,1,1,0.371
2014,Malaysia,China,manufacturing,"electronics,palm oil",32.76,-6.98,2.5,1,1,0.269
2015,Malaysia,China,manufacturing,"electronics,palm oil",33.59,2.53,2.5,1,1,0.297
2016,Malaysia,China,manufacturing,"electronics,palm oil",32.31,-3.81,2.5,1,1,0.342
2017,Malaysia,China,manufacturing,"electronics,palm oil",32.22,-0.28,2.5,1,1,0.464
2018,Malaysia,China,manufacturing,"electronics,palm oil",35.47,10.09,2.5,1,1,0.23
2019,Malaysia,China,manufacturing,"electronics,palm oil",33.02,-6.91,2.5,1,1,0.299
2020,Malaysia,China,manufacturing,"electronics,palm oil",31.22,-5.45,2.5,1,1,0.381
2021,Malaysia,China,manufacturing,"electronics,palm oil",37.39,19.76,2.5,1,1,0.403
2022,Malaysia,China,manufacturing,"electronics,palm oil",39.05,4.44,2.5,1,1,0.357
2023,Malaysia,China,manufacturing,"electronics,palm oil",34.84,-10.78,2.5,1,1,0.157
2024,Malaysia,China,manufacturing,"electronics,palm oil",39.18,12.46,2.5,1,1,0.411
2000,Mexico,Canada,integrated,"vehicles,energy,machinery",54.84,,2.5,1,1,0.347
2001,Mexico,Canada,integrated,"vehicles,energy,machinery",58.41,6.51,2.5,1,1,0.485
2002,Mexico,Canada,integrated,"vehicles,energy,machinery",66.19,13.32,2.5,1,1,0.216
2003,Mexico,Canada,integrated,"vehicles,energy,machinery",66.14,-0.08,2.5,1,1,0.54
2004,Mexico,Canada,integrated,"vehicles,energy,machinery",68.91,4.19,2.5,1,1,0.301
2005,Mexico,Canada,integrated,"vehicles,energy,machinery",75.29,9.26,2.5,1,1,0.317
2006,Mexico,Canada,integrated,"vehicles,energy,machinery",80.37,6.75,2.5,1,1,0.279
2007,Mexico,Canada,integrated,"vehicles,energy,machinery",78.7,-2.08,2.5,1,1,0.445
2008,Mexico,Canada,integrated,"vehicles,energy,machinery",84.55,7.43,2.5,1,1,0.363
2009,Mexico,Canada,integrated,"vehicles,energy,machinery",68.66,-18.79,2.5,1,1,0.308
2010,Mexico,Canada,integrated,"vehicles,energy,machinery",87.18,26.97,2.5,1,1,0.256
2011,Mexico,Canada,integrated,"vehicles,energy,machinery",86.61,-0.65,2.5,1,1,0.382
2012,Mexico,Canada,integrated,"vehicles,energy,machinery",83.54,-3.54,2.5,1,1,0.513
2013,Mexico,Canada,integrated,"vehicles,energy,machinery",83.08,-0.55,2.5,1,1,0.318
2014,Mexico,Canada,integrated,"vehicles,energy,machinery",83.51,0.52,2.5,1,1,0.36
2015,Mexico,Canada,integrated,"vehicles,energy,machinery",86.84,3.99,2.5,1,1,0.173
2016,Mexico,Canada,integrated,"vehicles,energy,machinery",87.19,0.4,2.5,1,1,0.358
2017,Mexico,Canada,integrated,"vehicles,energy,machinery",86.1,-1.25,2.5,1,1,0.637
2018,Mexico,Canada,integrated,"vehicles,energy,machinery",82.51,-4.17,2.5,1,1,0.203
2019,Mexico,Canada,integrated,"vehicles,energy,machinery",84.87,2.86,2.5,1,1,0.392
2020,Mexico,Canada,integrated,"vehicles,energy,machinery",80.23,-5.47,2.5,1,1,0.285
2021,Mexico,Canada,integrated,"vehicles,energy,machinery",87.98,9.66,2.5,1,1,0.166
2022,Mexico,Canada,integrated,"vehicles,energy,machinery",86.11,-2.13,2.5,1,1,0.3
